-3.073139,	-0.006402,	0.191165,	-4.079506,	-3.855354,	-7.924064,	
0.589671,	-0.002921,	-7.259349,	-10.123565,	0.867497,	-10.843151,	
2.116834,	-0.005456,	6.563478,	-6.700481,	1.769199,	-5.773491,	
-0.739735,	-0.003320,	-12.182780,	-8.850317,	-3.876897,	-5.977997,	
2.995519,	-0.000611,	-1.501395,	-3.261950,	-4.631584,	-7.844620,	
1.107642,	-0.007824,	-7.627306,	-9.046329,	-2.019860,	-8.158078,	
-0.870101,	-0.010877,	0.754672,	-8.568434,	4.035491,	-11.203712,	
-0.192083,	-0.001626,	2.947877,	-5.978267,	8.512961,	-14.337295,	
0.995118,	-0.002537,	1.303009,	-8.411136,	3.437492,	-10.275199,	
-0.510797,	-0.008531,	-9.093992,	-10.290633,	-0.060332,	-10.237753,	
1.176971,	-0.004321,	8.168735,	-5.404456,	5.507565,	-7.495843,	
-0.907935,	-0.001491,	-10.910847,	-8.736001,	-3.410573,	-6.633217,	
2.742586,	-0.001827,	-4.925678,	-1.347377,	-5.365356,	-6.295069,	
-0.799071,	-0.004393,	-5.315607,	-9.792115,	1.022950,	-10.508706,	
2.471432,	-0.000327,	-7.739636,	0.521727,	-5.291117,	-3.626110,	
-2.044461,	-0.003773,	-4.673772,	-4.973355,	-3.858343,	-6.720373,	
1.599884,	-0.004915,	6.039935,	-7.075310,	2.901375,	-6.976672,	
1.321662,	-0.003491,	-5.276240,	-8.526393,	-1.650189,	-8.125100,	
0.391528,	-0.012140,	-3.361069,	-9.136169,	4.367017,	-13.152193,	
-0.742207,	-0.008628,	-8.989963,	-9.972345,	-1.092802,	-9.160630,	
2.636509,	-0.004597,	-4.816966,	-1.940879,	-5.299533,	-6.590421,	
-1.216072,	-0.005118,	-3.827449,	-9.216394,	-0.310295,	-9.107131,	
-1.699543,	-0.007077,	5.509499,	-7.470156,	2.318503,	-7.188761,	
2.093305,	-0.000532,	-2.227259,	-5.955006,	-2.971684,	-7.439411,	
-0.411582,	-0.012003,	-6.482599,	-10.013669,	2.381776,	-12.207821,	
-1.680070,	-0.003046,	9.003657,	-5.642728,	4.226441,	-5.194606,	
0.194962,	-0.007587,	10.453049,	-0.187467,	10.222981,	-10.201461,	
2.391663,	-0.003779,	1.452198,	-6.013364,	-2.028664,	-7.503026,	
0.344055,	-0.004783,	-1.858013,	-8.560800,	5.539936,	-13.767069,	
